"filename", "language", "JSON", "pip requirements", "Markdown", "Python", "Database", "HTML", "JavaScript", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/controller/loginController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 4, 28
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/controller/messageController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 3, 10
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/controller/refreshTokenController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 3, 31
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/hooks/axios.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/hooks/protectRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/hooks/useAuth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 10
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/lib/navData.js", "JavaScript", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/middleware/verifyJWT.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/middleware/verifyRoles.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/pages/Dashboard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 1, 8, 91
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/pages/UserInfoSurvey.js", "JavaScript", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 19, 16, 125
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/store.js", "JavaScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 5, 23
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/webpack.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/package-lock.json", "JSON", 1373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1374
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/package.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 37602, 0, 2, 1001, 160, 30, 2184, 1, 114, 19976, 271, 2749, 64090
