Name,Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,Restaurant
Decaf Mocha Whole Milk,436,153,17.0,27%,11.0,53%,0,75,25%,290,12%,60,1%,48,16%,2,6%,46,18,60%,0%,Bella_Union
Decaf White Mocha Oat Milk,274,0,0.0,0%,1.5,6%,0,0,0%,240,10%,370,8%,40,13%,1,5%,13,5,8%,6%,Bella_Union
Decaf White Mocha Skim Milk,146,0,0.0,0%,0.0,0%,0,0,0%,180,8%,40,1%,25,9%,0,0%,23,10,40%,0%,Bella_Union
Decaf White Mocha Soy Milk,256,63,7.0,11%,0.0,0%,0,0,0%,550,23%,60,1%,35,12%,0,0%,29,10,0%,0%,Bella_Union
Decaf White Mocha Whole Milk,247,90,10.0,16%,6.0,32%,0,45,15%,190,8%,35,1%,27,9%,0,0%,24,10,40%,0%,Bella_Union
Decaffeinated Coffee,5,0,0.0,0%,0.0,0%,0,0,0%,10,1%,270,6%,0,0%,0,0%,0,< 1,0%,0%,Bella_Union
Decaffeinated Red Eye,5,0,0.0,0%,0.0,0%,0,0,0%,10,0%,180,4%,0,0%,0,0%,0,< 1,0%,0%,Bella_Union
Hot Chocolate Oat Milk,476,0,0.0,1%,2.0,9%,0,0,0%,300,13%,460,10%,77,26%,3,12%,41,8,10%,8%,Bella_Union
Hot Chocolate Skim Milk,364,0,0.0,1%,0.0,0%,0,0,0%,280,12%,0,0%,70,23%,2,6%,67,19,70%,0%,Bella_Union
Hot Chocolate Soy Milk,376,72,8.0,12%,0.0,0%,0,0,0%,530,22%,0,0%,62,21%,2,6%,57,12,0%,0%,Bella_Union
Hot Chocolate Whole Milk,540,162,18.0,28%,11.0,56%,0,80,26%,300,12%,0,0%,71,24%,2,6%,69,19,70%,0%,Bella_Union
Hot Tea,0,0,0.0,0%,0.0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%,Bella_Union
Iced Carle's Macchiato Oat Milk,367,0,0.0,0%,1.5,6%,0,0,0%,210,9%,410,9%,62,21%,1,5%,36,5,8%,6%,Bella_Union
Iced Carle's Macchiato Skim Milk,240,0,0.0,0%,0.0,0%,0,0,0%,160,7%,80,2%,48,16%,0,0%,46,10,40%,0%,Bella_Union
Iced Carle's Macchiato Soy Milk,31,4,0.5,1%,0.0,0%,0,0,0%,40,2%,10,0%,5,2%,0,0%,5,< 1,0%,0%,Bella_Union
Iced Carle's Macchiato Whole Milk,484,135,15.0,23%,9.0,45%,0,65,21%,240,10%,115,2%,69,23%,0,0%,68,14,50%,0%,Bella_Union
Iced Latte Oat Milk,202,0,0.0,0%,1.0,5%,0,0,0%,180,8%,350,8%,25,8%,1,4%,3,4,8%,4%,Bella_Union
Iced Latte Skim Milk,94,0,0.0,0%,0.0,0%,0,0,0%,135,6%,70,1%,13,4%,0,0%,12,9,35%,0%,Bella_Union
